Question,Marks
Define context-aware dialogue systems.,2
What is session-based context tracking?,2
What is coreference resolution?,2
Define multimodal interfaces.,2
What is user profiling in personalization?,2
What is Emotional AI?,2
Name any two advanced language models used in conversational AI.,2
Explain the key techniques used in context-aware dialogue systems.,5
Describe the role of state management in conversational AI.,5
Explain the components of multimodal interfaces.,5
Discuss integration techniques used in multimodal systems.,5
Explain different personalization techniques used in conversational AI.,5
Describe the benefits of personalization in chatbot systems.,5
Explain Emotional AI and its applications.,5
Explain context-aware dialogue systems in detail including techniques and applications.,10
Discuss multimodal interfaces with components integration techniques and examples.,10
Explain personalization techniques in conversational AI with methods and benefits.,10
Analyze the role of memory models and coreference resolution in maintaining conversational context.,10
Discuss emerging trends in conversational AI including Emotional AI and advancements in language models.,10
Explain the working of cross-modal systems and fusion models in multimodal conversational AI.,10
Compare traditional chatbot systems with context-aware and personalized conversational AI systems.,10
